iteration,hv_mean,hv_std
357,10.959845,0.244831
358,10.960064,0.244829
359,10.961595,0.242900
360,10.961595,0.242900
361,10.961623,0.242925
362,10.963036,0.241838
363,10.963037,0.241839
364,10.963037,0.241839
365,10.963211,0.241872
366,10.963416,0.241661
367,10.963483,0.241589
368,10.964591,0.241054
369,10.964596,0.241057
370,10.964805,0.240815
371,10.966480,0.241729
372,10.966486,0.241727
373,10.966486,0.241727
374,10.970077,0.238573
375,10.969438,0.239071
376,10.969438,0.239071
377,10.969599,0.238945
378,10.969947,0.238676
379,10.969948,0.238677
380,10.969958,0.238673
381,10.975695,0.244451
382,10.975695,0.244451
383,10.975695,0.244451
384,10.975695,0.244451
385,10.975730,0.244425
386,10.976367,0.244421
387,10.977926,0.243305
388,10.977951,0.243289
389,10.977951,0.243289
390,10.977964,0.243280
391,10.978025,0.243301
392,10.978283,0.243697
393,10.978417,0.243617
394,10.978477,0.243614
395,10.978662,0.243311
396,10.976967,0.238810
397,10.977109,0.238799
398,10.976111,0.236760
399,10.973153,0.238605
400,10.973183,0.238593
401,10.974524,0.238354
402,10.974849,0.237906
403,10.974862,0.237901
404,10.976399,0.235841
405,10.976401,0.235840
406,10.976401,0.235840
407,10.976401,0.235840
408,10.977938,0.236761
409,10.979698,0.237152
410,10.979698,0.237152
411,10.979698,0.237152
412,10.979852,0.236959
413,10.979853,0.236960
414,10.979878,0.236944
415,10.977510,0.239458
416,10.977589,0.239467
417,10.977589,0.239467
418,10.978945,0.238143
419,10.979107,0.238067
420,10.980073,0.239484
421,10.980184,0.239569
422,10.981852,0.239343
423,10.981852,0.239343
424,10.981349,0.238498
425,10.981353,0.238503
426,10.981353,0.238503
427,10.981401,0.238477
428,10.981433,0.238454
429,10.981463,0.238429
430,10.981505,0.238417
431,10.981589,0.238418
432,10.981589,0.238418
433,10.981602,0.238411
434,10.981605,0.238414
435,10.982177,0.237958
436,10.982580,0.238647
437,10.982580,0.238647
438,10.982591,0.238641
439,10.982700,0.238507
440,10.982717,0.238486
441,10.982787,0.238429
442,10.983829,0.237844
443,10.983831,0.237843
444,10.983831,0.237843
445,10.983843,0.237853
446,10.983846,0.237851
447,10.984127,0.237684
448,10.984134,0.237686
449,10.984134,0.237686
450,10.983950,0.237433
451,10.984786,0.236407
452,10.984737,0.236434
453,10.984737,0.236434
454,10.985135,0.236273
455,10.986325,0.235778
456,10.986337,0.235771
457,10.986384,0.235843
458,10.986384,0.235843
459,10.986411,0.235834
460,10.986435,0.235870
461,10.986435,0.235870
462,10.986435,0.235870
463,10.986435,0.235870
464,10.986437,0.235869
465,10.986498,0.235804
466,10.987329,0.235562
467,10.987422,0.235545
468,10.986286,0.237143
469,10.986286,0.237143
470,10.986456,0.237060
471,10.981554,0.237085
472,10.981554,0.237085
473,10.981559,0.237084
474,10.981580,0.237100
475,10.981580,0.237100
476,10.982179,0.236939
477,10.982385,0.237092
478,10.982628,0.237067
479,10.984002,0.236540
480,10.984012,0.236762
481,10.984012,0.236762
482,10.984133,0.236797
483,10.984612,0.236437
484,10.984874,0.236145
485,10.984924,0.236109
486,10.985145,0.236410
487,10.985607,0.236043
488,10.985624,0.236067
489,10.985716,0.236075
490,10.985554,0.236196
491,10.985504,0.236234
492,10.985541,0.236266
493,10.985541,0.236266
494,10.985565,0.236302
495,10.986826,0.236609
496,10.986921,0.236536
497,10.991812,0.234244
498,10.991851,0.234242
499,10.991852,0.234242
