f1,f2,f3,type
7.342071,5.872912,0,pareto
7.346077,5.332798,15917,pareto
7.353268,5.405699,0,pareto
7.355687,5.045355,1203,pareto
7.356493,4.993833,853,pareto
7.360895,5.369878,0,pareto
7.361331,4.992350,0,pareto
7.363082,4.790086,273,pareto
7.368592,4.538017,0,pareto
7.374999,4.466589,0,pareto
7.375345,4.462685,0,pareto
7.375356,4.319227,0,pareto
7.380432,4.295672,3686,pareto
7.381065,4.291769,4116,pareto
7.381996,4.247383,4256,pareto
7.384869,4.264403,0,pareto
7.385337,4.230887,11876,pareto
7.392716,4.125807,3193,pareto
7.397289,4.072659,1897,pareto
7.400705,4.014520,4380,pareto
7.429346,3.859347,8780,pareto
7.434226,3.978298,8664,pareto
7.437918,3.922683,8044,pareto
7.440457,3.814741,11086,pareto
7.443005,3.784183,8780,pareto
7.444156,3.864263,8664,pareto
7.444625,3.839012,8664,pareto
7.446439,3.651600,11939,pareto
7.461985,3.739920,8664,pareto
7.477827,3.511792,8964,pareto
7.477964,3.656944,8664,pareto
7.478915,3.624289,8664,pareto
7.480554,3.582826,8664,pareto
7.482948,3.564481,8780,pareto
7.483526,3.277229,8964,pareto
7.484517,3.403602,8664,pareto
7.486821,3.331428,8664,pareto
7.487327,3.232185,8964,pareto
7.488203,3.210383,8664,pareto
7.489439,4.011278,5636,pareto
7.489862,2.967807,11074,pareto
7.490144,3.149547,8964,pareto
7.490430,3.814419,6336,pareto
7.492743,3.791780,6336,pareto
7.493156,3.126199,8664,pareto
7.494437,3.097074,8964,pareto
7.494769,3.063871,8664,pareto
7.496771,3.003924,8780,pareto
7.497098,2.694806,8664,pareto
7.498468,3.519166,8183,pareto
7.499745,3.742059,7539,pareto
7.500395,2.632456,8964,pareto
7.501294,2.658704,8664,pareto
7.502411,2.580406,11420,pareto
7.502533,2.609524,8664,pareto
7.504326,2.599162,8964,pareto
7.504880,2.482480,8780,pareto
7.505067,2.747991,8372,pareto
7.505681,3.461899,8076,pareto
7.506652,2.545121,8664,pareto
7.508357,2.440593,9080,pareto
7.509159,2.419145,8664,pareto
7.513704,2.064449,17105,pareto
7.513704,2.214325,16805,pareto
7.515314,3.851474,5959,pareto
7.516712,3.717410,6959,pareto
7.520576,3.692779,6959,pareto
7.520843,3.713496,6759,pareto
7.522681,3.788331,6725,pareto
7.523225,3.566878,7659,pareto
7.525990,3.488814,8059,pareto
7.527755,3.510196,7759,pareto
7.528559,3.597308,7612,pareto
7.529287,3.618696,7412,pareto
7.532052,3.466558,7812,pareto
7.213762,12.637687,17540,baseline
